model,rmse,rmse_original,mae,r2,mape
XGBoost,0.12621213680820048,21521.920912105474,14105.419012200355,0.8991410823561172,8.7338319234129
Régression Linéaire,0.12660209096240618,20678.093029871565,14488.349603752746,0.8985168775232958,8.962776094209392
Ridge Regression,0.1282805478428012,20914.291259266818,14563.585365025448,0.8958081675447378,9.025171233439009
Lasso Regression,0.1294787725200827,20956.462256713272,14539.916425230002,0.8938526365592712,9.054473105070217
Random Forest,0.14380436755650017,24013.702128317775,16327.081951015827,0.869064859954476,10.216282980711751
